Name	SW620_LARGE_INTESTINE	NCIH23_LUNG	KM12_LARGE_INTESTINE	U251MG_CENTRAL_NERVOUS_SYSTEM	SF268_CENTRAL_NERVOUS_SYSTEM	NCIH522_LUNG	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DU145_PROSTATE	SKMEL28_SKIN	NCIH460_LUNG	PC3_PROSTATE	MDAMB231_BREAST	NIHOVCAR3_OVARY	UACC257_SKIN	OVCAR5_OVARY	HCT15_LARGE_INTESTINE	HOP62_LUNG	MDAMB435S_SKIN	HCT116_LARGE_INTESTINE	OVCAR8_OVARY	A549_LUNG	HOP92_LUNG	NCIH226_LUNG	OVCAR4_OVARY	HT29_LARGE_INTESTINE	LOXIMVI_SKIN	EKVX_LUNG	MCF7_BREAST	ACHN_KIDNEY	BT549_BREAST	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SF539_CENTRAL_NERVOUS_SYSTEM	UO31_KIDNEY	SF295_CENTRAL_NERVOUS_SYSTEM	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	UACC62_SKIN	MALME3M_SKIN	MDAMB468_BREAST	SKMEL5_SKIN	HS578T_BREAST	IGROV1_OVARY	TK10	T47D_BREAST	SNB75_CENTRAL_NERVOUS_SYSTEM	SKOV3_OVARY	A498_KIDNEY
2-aminoadipate		47627.0	31977.0	323618.0	50364.0	12739.0		48035.0	361841.0	54585.0	52302.0	21354.0	85399.0	31810.0		83889.0	43035.0	29174.0	48795.0	36510.0	36051.0	47854.0	45297.0	15473.0	43218.0	61824.0	21607.0	33619.0	59677.0	64834.0	13173.0	44722.0	66774.0	196598.0		29762.0	30887.0		49382.0	54192.0	74598.0	36269.0		52103.0	40666.0	46480.0
3-phosphoglycerate	172949.0	320183.0	187816.0	55608.0	74523.0	65720.0	52629.0	20971.0	110805.0	134433.0	86125.0	65845.0	38702.0	40529.0	28072.0	181597.0	79211.0	64568.0	100425.0	100080.0	44969.0	67837.0	79610.0	49921.0	59370.0	116452.0	31921.0	48335.0	10199.0	28866.0		80435.0	80010.0	127763.0		117494.0	7443.0	63945.0	77768.0	36939.0	227873.0	72872.0	58717.0	63382.0	65172.0	128988.0
alpha-glycerophosphate	233870.0	194214.0	616656.0	73671.0	1029634.0	1547225.0	281067.0	359732.0	300453.0	508069.0	311208.0	264196.0	169067.0	61632.0	73830.0	1181008.0	306944.0	168716.0	416726.0	910919.0	335242.0	662808.0	313389.0	569801.0	83022.0	461434.0	72054.0	247462.0	284143.0	171237.0	175303.0	66746.0	269598.0	651199.0	133419.0	395844.0	92447.0	323522.0	416132.0	175988.0	662266.0	210438.0	3372563.0	150439.0	172569.0	183435.0
4-pyridoxate	47562.0	132286.0	112560.0	290003.0	148685.0	44903.0		179063.0		160142.0		111912.0		215321.0	104906.0	133198.0	114020.0	147996.0	618423.0			93243.0	54798.0		181760.0	72766.0	107423.0	146955.0	270802.0	163056.0		149558.0	153836.0	64843.0		75929.0	295541.0	78676.0	268306.0	135153.0		132329.0	28533.0	109684.0	79328.0	95688.0
aconitate	126707.0	56150.0	68884.0	67475.0	43222.0	16987.0	18083.0	13635.0	66993.0	66608.0	69527.0	30176.0	86561.0	46335.0	17817.0	183270.0	50870.0	29464.0	71292.0	42553.0	37681.0	62285.0	93178.0	39424.0	32607.0	70544.0	25517.0	36225.0		26296.0	7616.0	29335.0	36459.0	266648.0	20397.0	46741.0	29258.0	27287.0	80908.0	13972.0	126729.0	40443.0	52317.0	52155.0	23199.0	65100.0
adenine	68287.0	41837.0	26371.0	22808.0	26486.0	30608.0		8646.0	31974.0	25894.0	26342.0			21491.0	30731.0	37521.0	37820.0	12369.0	19288.0	22379.0			43156.0	20232.0	115821.0	32861.0		27897.0	47128.0	36745.0		18397.0	16599.0	25093.0		31225.0	36903.0	19570.0	165005.0	41329.0			25672.0	12585.0	9122.0	
adipate	148801.0	116530.0	129026.0	102124.0	85554.0	47250.0	39349.0	83274.0	54926.0	53917.0	95191.0	64537.0	188397.0	46789.0	55760.0	65300.0	52135.0	38644.0	69627.0	64455.0	56526.0	79215.0	55565.0	57552.0	50525.0	68375.0	54186.0	54486.0	98848.0	94972.0	36257.0	127073.0	79967.0	73945.0	18760.0	17327.0	71675.0	55570.0	55115.0	86356.0	76229.0	102800.0	45213.0	85431.0	60851.0	122652.0
alpha-ketoglutarate	277284.0	274297.0	127902.0	170822.0	485735.0		44921.0		156065.0	190104.0	249305.0	109400.0	165545.0	124671.0	99300.0	206240.0	186068.0	225568.0	90612.0	141653.0	134303.0	251961.0	116673.0	153821.0	92668.0	280926.0	68622.0	245005.0	25052.0			158584.0	240177.0	194644.0	79222.0	224697.0	62907.0	170594.0	173268.0	117906.0	295534.0	448872.0	194426.0	310162.0		406791.0
AMP	57387.0	50399.0	81890.0	37661.0	35978.0	31709.0	59085.0	47687.0	94970.0	71000.0	42690.0	19792.0	44667.0	55424.0	16839.0	92891.0	33443.0	16484.0	50464.0	37763.0	43834.0	53354.0	75272.0	71262.0	46568.0	24272.0	28950.0	67844.0	16519.0	32359.0	41696.0	35144.0	47990.0	56360.0	188698.0	58179.0	43063.0	36654.0	154640.0	23007.0	117603.0	42709.0	85981.0	29206.0	39859.0	54070.0
cAMP2		2354.0	31878.0		2448.0	1031.0		3835.0	31275.0	4899.0		3872.0		16875.0	5720.0	6924.0	4235.0	2074.0	2252.0	5114.0		11781.0		7906.0	1740.0	2212.0		20331.0	2480.0	975.0			4603.0	5241.0			1740.0		15125.0			7238.0		1964.0	4616.0	
